 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.002
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-1     axial-0     axial-2     axial-3     axial-4
      0.342   -92326.38   57402.759   23584.497  22401.0767   55961.298
      0.344   -89428.12   60720.231   25593.792  23695.6998   56299.217
      0.346   -86097.59   63784.187  27583.7633  24891.3902   56288.789
      0.348   -82392.03   66585.811  29534.6548  25984.7068    55948.23
       0.35   -78372.12    69117.74  31426.5507  26972.7764   55298.171
      0.352   -74101.49   71374.105   33239.573  27853.3093   54361.477
      0.354   -69646.07   73350.569   34954.081  28624.6122   53163.044
      0.356   -65073.47   75044.344   36550.875  29285.5977    51729.59
      0.358   -60452.39   76454.212   38011.392  29835.7902   50089.427
       0.36   -55851.92   77580.529    39317.91  30275.3284   48272.221
      0.362   -51338.71   78424.516   40453.997  30604.6891   46307.421
      0.364   -46974.12   78987.547   41404.964  30824.4084   44222.684
      0.366   -42815.85   79271.847   42157.762  30935.3551    42044.98
      0.368   -38919.64    79281.19   42700.862  30939.0008   39801.697
       0.37   -35338.71    79020.87   43024.398  30837.4126   37520.422
      0.372   -32123.29    78497.68   43120.287  30633.2409   35228.719
      0.374  -29320.132    77719.87   42982.339  30329.7052   32953.913
      0.376  -26972.071   76697.101   42606.345   29930.576  30722.8762
      0.378  -25117.641   75440.394    41990.16  29440.1538  28561.8222
       0.38  -23790.702   73962.067   41133.752  28863.2457  26496.1064
      0.382  -23009.425   72272.249   40040.523  28203.8046  24543.6131
      0.384  -22765.429   70375.409   38718.593  27463.5742  22708.2042
      0.386  -23034.554   68273.745   37179.453  26643.4126  20986.1234
      0.388  -23787.797   65970.592   35436.581  25744.6211  19372.4643
       0.39   -24991.58   63470.402    33505.32  24768.9372  17861.2257
      0.392  -26608.074    60778.72   31402.745  23718.5247  16445.3778
      0.394  -28595.554   57902.153  29147.5062  22595.9621  15116.9387
      0.396  -30908.788   54848.333  26759.6623  21404.2276  13867.0597
      0.398   -33499.47   51625.876  24260.4986  20146.6833    12686.12
        0.4   -36316.69   48244.332  21672.3352  18827.0564  11563.8278
      0.402   -39323.07   44719.146  19016.4439  17451.3741  10498.7494
      0.404   -42510.86   41076.583  16310.9879  16029.8862  9507.76927
      0.406   -45886.28   37348.572  13572.7748  14575.0525  8616.56894
      0.408   -49453.81   33567.514  10819.0337  13099.5177  7850.03825
       0.41   -53216.12  29766.1062  8067.30803  11616.0414  7232.11321
      0.412   -57174.07  25977.1573  5335.34321  10137.4272  6785.62106
      0.414    -61326.7  22233.4073  2640.97226  8676.45165  6532.13428
      0.416   -65671.26  18567.3458     1.99789   7245.7935  6491.83457
      0.418   -70203.21  15011.0314  -2563.9269  5857.96347  6683.38666
       0.42   -74916.27  11595.9139   -5039.419  4525.23468  7123.82301
      0.422   -79796.98  8350.88396    -7406.82  3258.88155  7825.10228
      0.424   -84819.19   5300.3367   -9647.659  2068.42408  8790.70625
      0.426    -89949.9  2465.81227  -11743.469    962.2682  10018.9776
      0.428   -95155.16  -132.34718  -13676.611   -51.64768  11506.4968
       0.43  -100400.37  -2475.1102  -15430.428  -965.89668  13248.1325
      0.432   -105650.6   -4544.862  -16989.389  -1773.6047  15237.1028
      0.434  -110870.93   -6325.501   -18339.23  -2468.4883  17465.0476
      0.436  -116026.77   -7802.531  -19467.088  -3044.8901  19922.1112
      0.438  -121084.23   -8963.137  -20361.623    -3497.81  22597.0335
       0.44  -126010.36   -9796.261  -21013.126   -3822.931  25477.2507
      0.442  -130000.11  -10294.559  -21413.403   -4017.389  28545.8428
      0.444  -130000.11  -10456.341  -21558.006   -4080.523   31780.483
      0.446  -130000.11  -10283.683  -21448.756   -4013.144   35158.625
      0.448  -130000.12   -9780.514  -21091.314   -3816.786   38658.609
       0.45  -130000.12   -8952.597  -20492.614   -3493.697   42257.686
      0.452  -130000.13   -7807.498  -19660.789  -3046.8285    45932.14
      0.454  -130000.13   -6354.538  -18605.089  -2479.8199   49657.409
      0.456  -130000.13    -4604.75  -17335.799  -1796.9754   53408.229
      0.458  -130000.13  -2570.8079  -15864.145  -1003.2421   57158.765
       0.46  -130000.14   -266.9662  -14202.205  -104.18193    60882.76
      0.462  -130000.14  2289.91155  -12362.383   893.62402   64551.589
      0.464  -130000.14  5079.32836  -10356.891  1982.17692    68132.32
      0.466  -130000.14  8078.38294   -8198.043  3152.53968   71589.989
      0.468  -130000.14  11263.0115   -5898.569  4395.32155   74889.883
       0.47  -130000.14  14608.1208   -3471.488  5700.73008   77997.736
      0.472  -129607.91  18087.7279  -930.24013  7058.62554    80880.12
      0.474  -128706.03  21675.1039  1710.86677  8458.57712   83505.096
      0.476  -127280.39  25342.9219  4436.36736  9889.92076   85842.744
      0.478   -125321.8  29063.4093  7229.66144  11341.8183   87865.413
       0.48  -122826.02   32808.501   10073.116  12803.3176   89547.902
      0.482  -119806.68   36554.084  12946.6425  14265.0082   90875.306
      0.484  -116307.87   40284.214  15826.3098   15720.669   91850.783
      0.486  -112390.96   43987.124  18686.0826  17165.7071   92487.814
      0.488   -108121.2   47651.195   21499.593  18595.5885   92802.382
       0.49  -103567.13   51265.025  24240.3849  20005.8633   92812.818
      0.492   -98799.91   54817.488  26882.1631  21392.1906   92539.628
      0.494   -93892.67   58297.802  29399.0432  22750.3619   92005.297
      0.496    -88919.8   61695.583   31765.802  24076.3251   91234.093
      0.498   -83956.26   65000.905   33958.126  25366.2067   90251.844
        0.5   -79076.88   68204.354    35952.85  26616.3332   89085.714
      0.502   -74340.52   71292.252   37730.006  27821.3667   87754.886
      0.504   -69774.38   74241.901   39274.832  28972.4491   86261.315
      0.506    -65388.9   77026.537   40576.083  30059.1364   84598.769
      0.508   -61192.76   79620.314   41624.306  31071.3419    82761.94
       0.51   -57192.79   81998.442   42411.911   31999.392   80746.471
      0.512   -53393.94   84137.329   42933.228    32834.08   78548.977
      0.514   -49799.18   86014.708   43184.552   33566.715   76167.065
      0.516   -46409.53   87609.765   43164.164   34189.176   73599.342
      0.518     -43224.   88903.248   42872.351    34693.95   70845.429
       0.52   -40239.63    89877.58   42311.399   35074.178   67905.958
      0.522   -37457.31   90518.812   41484.876   35324.414   64786.068
      0.524   -34887.63   90818.556   40396.919   35441.388    61498.86
      0.526   -32544.92   90772.178   39052.907   35423.289   58061.814
      0.528  -30441.332   90376.963   37460.148   35269.059   54493.174
       0.53  -28586.712   89632.129   35627.837   34978.392   50811.821
      0.532  -26988.519   88538.835   33567.012   34551.741   47037.144
      0.534  -25651.757   87100.172  31290.4853   33990.311   43188.914
      0.536  -24578.928   85321.146  28812.7711   33296.057    39287.15
      0.538  -23770.018   83208.649  26149.9888   32471.668    35351.99
       0.54    -23222.5   80771.426  23319.7593  31520.5566  31403.5643
      0.542  -22931.362   78020.021  20341.0872  30446.8373  27461.8705
      0.544  -22889.158   74966.719  17234.2309  29255.3049  23546.6471
      0.546  -23086.086   71625.481  14020.5616  27951.4073  19677.2566
      0.548  -23510.084   68011.866  10722.4134  26541.2159  15872.5699
       0.55  -24146.949    64142.94  7362.92356  25031.3914  12150.8562
      0.552  -24980.475   60037.189  3965.86581  23429.1469   8529.6786
      0.554  -25992.613   55714.409   555.47695  21742.2085  5025.79595
      0.556  -27163.644   51195.602  -2843.7215  19978.7715  1655.07135
      0.558  -28472.372   46502.856   -6207.105  18147.4559  -1567.6123
       0.56  -29896.327   41659.223   -9510.132  16257.2577   -4628.429
      0.562   -31408.49   36687.479  -12728.107  14317.0649   -7516.776
      0.564   -32974.07  31608.8792  -15835.959  12335.1724   -10227.41
      0.566    -34554.3  26444.1581  -18808.859  10319.6714  -12758.359
      0.568   -36110.34  21214.5268  -21622.841  8278.83973  -15108.808
       0.57    -37603.6  15941.5569  -24255.008  6221.09539  -17279.069
      0.572   -38996.14  10647.0603  -26683.718  4154.95034  -19270.549
      0.574   -40251.02  5352.96798  -28888.771  2088.96311  -21085.708
      0.576   -41332.63    81.20907  -30851.581    31.69135  -22728.013
      0.578   -42207.06   -5146.411   -32555.34  -2008.3557  -24201.886
       0.58    -42842.4  -10308.333   -33985.15   -4022.764  -25512.647
      0.582   -43211.37  -15382.617   -35128.46   -6002.972  -26665.058
      0.584   -43293.92  -20346.323   -35975.44   -7940.029  -27661.872
      0.586   -43075.07  -25176.383   -36518.79    -9824.93  -28505.195
      0.588   -42542.75  -29850.468   -36753.53  -11648.963  -29197.859
       0.59   -41687.88   -34347.12   -36677.04  -13403.753  -29743.392
      0.592   -40504.51   -38645.85   -36289.09  -15081.306  -30145.988
      0.594    -38989.8   -42727.28   -35591.86   -16674.06  -30410.476
      0.596   -37144.13   -46573.24    -34589.9  -18174.922  -30542.288
      0.598   -34971.01   -50166.85   -33290.13  -19577.308  -30547.421
        0.6   -32477.11   -53492.65   -31701.78  -20875.181  -30432.406
      0.602  -29671.603   -56536.83   -29836.25  -22063.154   -30204.62
      0.604  -26565.461   -59287.53  -27706.943  -23136.598  -29872.593
      0.606  -23171.962    -61734.7  -25329.264   -24091.59  -29445.619
      0.608  -19507.132   -63869.96  -22720.554  -24924.863  -28933.353
