 
 SAP2000 v24.1.0 File: 3D-2SIDE-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-x:  Joint 1  Displacement  UX    
 FUNCTION  disp-3-x:  Joint 3  Displacement  UX    
 FUNCTION  disp-3-y:  Joint 3  Displacement  UY    
 FUNCTION  shear22-3-0:  Frame 3  Station 1  Shear 2-2    
 FUNCTION  shear33-3-0:  Frame 3  Station 1  Shear 3-3    
 FUNCTION  moment22-3-0:  Frame 3  Station 1  Moment 2-2    
 FUNCTION  moment33-3-0:  Frame 3  Station 1  Moment 3-3    
 FUNCTION  moment22-3-1:  Frame 3  Station 3  Moment 2-2    
 FUNCTION  moment33-3-1:  Frame 3  Station 3  Moment 3-3    
 FUNCTION  shear22-3-1:  Frame 3  Station 3  Shear 2-2    
 FUNCTION  shear33-3-1:  Frame 3  Station 3  Shear 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-x    disp-3-x    disp-3-y shear22-3-0 shear33-3-0 moment22-3-0 moment33-3-0 moment22-3-1 moment33-3-1 shear22-3-1 shear33-3-1
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
      0.742     0.01427     0.01433     0.02038   33900.526   -43.49533  -362.49016   64835.076  -232.00418    -36866.5   33900.526   -43.49533
      0.744     0.01354     0.01361     0.02022    32714.53   -59.29207  -385.85044   62791.607  -207.97422   -35351.98    32714.53   -59.29207
      0.746     0.01279     0.01286     0.02006  31502.2942    -75.2566  -409.52391   60689.364  -183.75411   -33817.52  31502.2942    -75.2566
      0.748     0.01201     0.01208     0.01989  30263.1032   -91.45074  -433.58163   58527.562  -159.22942   -32261.75  30263.1032   -91.45074
       0.75     0.01121     0.01127     0.01972  28998.8634  -107.96094  -458.12735   56309.555  -134.24452  -30687.035  28998.8634  -107.96094
      0.752     0.01038     0.01044     0.01955  27712.6696  -124.86976  -483.26285   54041.197  -108.65356  -29096.812  27712.6696  -124.86976
      0.754     0.00953     0.00959     0.01937  26403.6388  -142.22741  -509.05234   51722.916   -82.37012     -27488.  26403.6388  -142.22741
      0.756     0.00864     0.00872     0.01919  25063.7446  -160.03648  -535.50299   49344.669   -55.39354  -25846.565  25063.7446  -160.03648
      0.758     0.00773     0.00781       0.019  23682.0844  -178.25603  -562.56973   46892.679   -27.80165  -24153.575  23682.0844  -178.25603
       0.76     0.00681     0.00688     0.01881  22251.2372  -196.82131  -590.17943   44359.298     0.28451  -22394.413  22251.2372  -196.82131
      0.762     0.00586     0.00593     0.01861  20768.4082  -215.66525  -618.25504   41743.919    28.74072  -20561.306  20768.4082  -215.66525
      0.764     0.00488     0.00495     0.01842  19233.5746  -234.73204  -646.72822   39048.729    57.46791  -18651.995  19233.5746  -234.73204
      0.766     0.00388     0.00395     0.01821  17647.8659  -254.00865    -675.582   36276.553    86.44395  -16667.045  17647.8659  -254.00865
      0.768     0.00286     0.00293     0.01801  16013.7418  -273.53454  -704.86483   33431.517   115.73879  -14609.708  16013.7418  -273.53454
       0.77     0.00181     0.00188      0.0178  14333.1101  -293.38683  -734.67187  30516.1534   145.48863  -12483.177  14333.1101  -293.38683
      0.772   7.508E-04   8.218E-04     0.01758   12606.061   -313.6497  -765.10579  27529.6199   175.84331  -10288.563   12606.061   -313.6497
      0.774  -3.282E-04  -2.618E-04     0.01736  10834.0603  -334.38441  -796.23808  24473.2887   206.91514   -8028.892  10834.0603  -334.38441
      0.776    -0.00142    -0.00136     0.01714  9022.72389  -355.60062  -828.07355  21355.7941    238.7283   -5712.378  9022.72389  -355.60062
      0.778    -0.00254    -0.00248     0.01691  7177.50016  -377.25508  -860.55115  18186.2093   271.21408   -3346.291  7177.50016  -377.25508
       0.78    -0.00367    -0.00361     0.01668  5298.98388  -399.26946  -893.56969  14966.3964   304.23868  -930.55521  5298.98388  -399.26946
      0.782    -0.00482    -0.00476     0.01644  3385.13958  -421.55767  -927.02387   11694.328   337.64914  1538.90931  3385.13958  -421.55767
      0.784    -0.00598    -0.00592     0.01621  1435.37795   -444.0498  -960.83267  8369.95026   371.31673   4063.8164  1435.37795   -444.0498
      0.786    -0.00715    -0.00709     0.01596  -549.44222  -466.71709  -994.96958   4994.7731   405.18169  6643.09976  -549.44222  -466.71709
      0.788    -0.00832    -0.00828     0.01572  -2565.6248  -489.57843  -1029.4672  1573.80384   439.26803  9270.67828  -2565.6248  -489.57843
       0.79    -0.00951    -0.00947     0.01547   -4604.064  -512.68836  -1064.3983  -1880.2137   473.66678  11931.9782   -4604.064  -512.68836
      0.792    -0.01071    -0.01067     0.01522   -6653.768  -536.11079  -1099.8392   -5352.149   508.49316  14609.1556   -6653.768  -536.11079
      0.794    -0.01192    -0.01188     0.01496   -8708.098  -559.89127  -1135.8352   -8834.155   543.83866  17290.1384   -8708.098  -559.89127
      0.796    -0.01313    -0.01309      0.0147  -10764.679  -584.03825  -1172.3786  -12325.042   579.73611  19968.9963  -10764.679  -584.03825
      0.798    -0.01434     -0.0143     0.01443  -12820.271  -608.51856  -1209.4098  -15821.343   616.14583  22639.4698  -12820.271  -608.51856
        0.8    -0.01556    -0.01552     0.01416  -14869.605  -633.27164  -1246.8413  -19315.336   652.97362  25293.4803  -14869.605  -633.27164
      0.802    -0.01677    -0.01674     0.01389  -16908.187  -658.23111  -1284.5897   -22799.79   690.10367  27924.7708  -16908.187  -658.23111
      0.804    -0.01798    -0.01796     0.01362  -18932.143  -683.34305  -1322.5982  -26268.042   727.43092  30528.3867  -18932.143  -683.34305
      0.806     -0.0192    -0.01917     0.01335  -20937.574  -708.57909  -1360.8491   -29713.17   764.88812   33099.551  -20937.574  -708.57909
      0.808    -0.02041    -0.02038     0.01307  -22922.984  -733.93779  -1399.3576   -33132.44   802.45581    35636.51  -22922.984  -733.93779
       0.81    -0.02161    -0.02159     0.01279    -24889.3  -759.43708  -1438.1546   -36527.78   840.15659   38140.124    -24889.3  -759.43708
      0.812    -0.02281    -0.02279     0.01251  -26834.237   -785.1017  -1477.2672   -39896.62   878.03792    40606.09  -26834.237   -785.1017
      0.814    -0.02399    -0.02399     0.01222  -28749.526  -810.94999  -1516.7009   -43227.18   916.14909   43021.398  -28749.526  -810.94999
      0.816    -0.02517    -0.02517     0.01193   -30626.08  -836.98434  -1556.4332    -46506.4   954.51983   45371.836   -30626.08  -836.98434
      0.818    -0.02634    -0.02634     0.01164   -32458.81  -863.18984  -1596.4197    -49727.2   993.14977   47649.213   -32458.81  -863.18984
       0.82     -0.0275     -0.0275     0.01135   -34245.68  -889.54162  -1636.6127   -52886.43  1032.01214   49850.612   -34245.68  -889.54162
      0.822    -0.02864    -0.02864     0.01106   -35987.11  -916.01437  -1676.9781    -55983.6  1071.06498   51977.734   -35987.11  -916.01437
      0.824    -0.02977    -0.02977     0.01076    -37686.3  -942.58723  -1717.5015   -59021.93  1110.26019   54036.955    -37686.3  -942.58723
      0.826    -0.03088    -0.03089     0.01047     -39346.  -969.24402  -1758.1823   -62003.42  1149.54975   56034.575     -39346.  -969.24402
      0.828    -0.03197    -0.03198     0.01017   -40964.57  -995.96858   -1799.019   -64922.74  1188.88675    57970.98   -40964.57  -995.96858
       0.83    -0.03304    -0.03306     0.00987   -42538.66  -1022.7408  -1839.9955    -67772.1  1228.22695   59843.886   -42538.66  -1022.7408
      0.832    -0.03409    -0.03411     0.00957   -44068.58  -1049.5374  -1881.0779   -70550.33  1267.53444   61655.415   -44068.58  -1049.5374
      0.834    -0.03513    -0.03514     0.00926   -45556.97  -1076.3371  -1922.2215    -73260.7  1306.78988   63410.218   -45556.97  -1076.3371
      0.836    -0.03613    -0.03615     0.00896   -47004.17   -1103.127  -1963.3843   -75903.25  1345.99682   65109.257   -47004.17   -1103.127
      0.838    -0.03711    -0.03714     0.00866   -48408.16   -1129.908  -2004.5414   -78474.46  1385.18249   66750.026   -48408.16   -1129.908
       0.84    -0.03806     -0.0381     0.00835   -49772.58  -1156.2697  -2045.2685   -80976.16  1423.54057   68341.582   -49772.58  -1156.2697
      0.842    -0.03899    -0.03903     0.00805   -51093.76  -1182.2164  -2085.5709   -83401.71  1461.07838   69879.575   -51093.76  -1182.2164
      0.844    -0.03989    -0.03993     0.00775   -52361.17  -1208.2419  -2125.9556   -85737.07  1498.77025   71346.438   -52361.17  -1208.2419
      0.846    -0.04076     -0.0408     0.00745   -53576.78  -1234.3511  -2166.4433   -87983.35  1536.60996   72746.991   -53576.78  -1234.3511
      0.848     -0.0416    -0.04164     0.00714   -54748.27  -1260.5106  -2207.0085   -90150.22  1574.52321    74094.58   -54748.27  -1260.5106
       0.85    -0.04241    -0.04245     0.00684   -55558.75    -1213.36  -2099.3764    -91544.8  1540.70367   75131.456   -55558.75    -1213.36
      0.852    -0.04318    -0.04323     0.00653   -56155.55  -1126.0749  -1910.6853   -92482.92  1467.53951   75983.739   -56155.55  -1126.0749
      0.854    -0.04392    -0.04398     0.00623    -56731.6  -1042.6888  -1730.0141   -93381.16  1398.05239   76813.631    -56731.6  -1042.6888
      0.856    -0.04462    -0.04469     0.00593   -57285.88  -963.38682  -1557.7447   -94237.63  1332.41574   77620.018   -57285.88  -963.38682
      0.858     -0.0453    -0.04536     0.00563   -57818.56  -888.41613  -1394.1055    -95051.2  1271.14286   78404.496   -57818.56  -888.41613
       0.86    -0.04594      -0.046     0.00533   -58329.23    -817.981  -1239.2658   -95821.01  1214.67716   79166.681   -58329.23    -817.981
      0.862    -0.04654     -0.0466     0.00503   -58813.33  -752.05259  -1093.5399   -96545.52  1162.61788   79894.478   -58813.33  -752.05259
      0.864     -0.0471    -0.04717     0.00473   -59270.55   -690.6324  -956.86391   -97225.03  1115.03328   80586.615   -59270.55   -690.6324
      0.866    -0.04763     -0.0477     0.00443   -59699.16  -633.97413  -829.72623   -97857.12  1072.19616   81240.345   -59699.16  -633.97413
      0.868    -0.04811    -0.04819     0.00414   -60095.42  -582.54068  -713.09016     -98437.  1034.53187   81849.249   -60095.42  -582.54068
       0.87    -0.04856    -0.04864     0.00384   -60451.98  -533.42679  -601.21244   -98941.34   999.06791   82414.601   -60451.98  -533.42679
      0.872    -0.04897    -0.04905     0.00355   -60791.17  -488.31847  -498.41785   -99406.59   966.53756   82966.927   -60791.17  -488.31847
      0.874    -0.04935    -0.04942     0.00326    -61108.8  -448.99861  -407.31729   -99833.82   939.67853   83492.574    -61108.8  -448.99861
      0.876    -0.04968    -0.04975     0.00297   -61404.35  -415.54621    -328.199  -100223.81   918.43962   83989.229   -61404.35  -415.54621
      0.878    -0.04996    -0.05004     0.00269   -61671.38  -387.13697  -259.41439  -100565.79   901.99652   84448.344   -61671.38  -387.13697
       0.88    -0.05021    -0.05029     0.00241   -61904.56  -364.01412  -201.41046  -100854.17   890.63191   84859.503   -61904.56  -364.01412
      0.882    -0.05041     -0.0505     0.00213   -62097.16  -346.85613  -155.47949  -101082.52    885.0889   85208.946   -62097.16  -346.85613
      0.884    -0.05058    -0.05066     0.00185   -62089.31  -346.35444  -143.18054  -101143.67   895.88279   85124.258   -62089.31  -346.35444
      0.886     -0.0507    -0.05079     0.00157   -62005.62  -354.26564  -147.79275  -101120.74   915.00416   84896.116   -62005.62  -354.26564
      0.888    -0.05078    -0.05086      0.0013   -61890.33  -367.50654  -163.09432  -101044.66    939.4253   84626.337   -61890.33  -367.50654
       0.89    -0.05082     -0.0509     0.00103   -61744.51   -385.9371  -188.86683  -100916.53   968.94446   84317.005   -61744.51   -385.9371
      0.892    -0.05081     -0.0509   7.613E-04   -61565.59  -408.84702  -223.79889  -100729.08  1002.74217   83967.683   -61565.59  -408.84702
      0.894    -0.05075    -0.05085   4.973E-04   -61331.57   -432.0411  -259.50617  -100437.61  1036.61711   83557.085   -61331.57   -432.0411
      0.896    -0.05066    -0.05076   2.374E-04   -61047.14   -454.8049  -294.59043  -100042.39  1069.82426   83099.016   -61047.14   -454.8049
      0.898    -0.05052    -0.05062  -1.847E-05   -60719.11   -477.1397  -329.05595   -99549.64  1102.36314   82607.695   -60719.11   -477.1397
        0.9    -0.05034    -0.05043  -2.707E-04    -60341.2  -499.09883  -362.97233   -98953.98  1134.32417   82069.621    -60341.2  -499.09883
      0.902    -0.05012    -0.05021  -5.197E-04   -59913.86  -520.76317  -396.43989   -98258.31  1165.84963   81483.271   -59913.86  -520.76317
      0.904    -0.04984    -0.04994  -7.657E-04   -59435.92  -542.20824   -429.5467   -97462.16  1197.07803   80845.601   -59435.92  -542.20824
      0.906    -0.04952    -0.04963    -0.00101   -58883.69  -563.47187  -462.32776   -96539.43  1228.08783   80111.639   -58883.69  -563.47187
      0.908    -0.04916    -0.04927    -0.00125   -58290.69  -584.53834  -494.74829   -95521.45  1258.86672   79350.625   -58290.69  -584.53834
       0.91    -0.04876    -0.04886    -0.00148    -57624.6  -605.34447  -526.71557    -94376.5  1289.31784   78497.301    -57624.6  -605.34447
      0.912    -0.04832    -0.04842    -0.00171   -56876.75  -625.80055  -558.11058    -93097.7  1319.29107    77532.55   -56876.75  -625.80055
      0.914    -0.04783    -0.04792    -0.00194   -56051.47  -645.82061  -588.82903   -91690.58   1348.6328   76463.842   -56051.47  -645.82061
      0.916    -0.04729    -0.04739    -0.00216   -55152.92  -665.35085  -618.81604   -90160.46  1377.23652   75298.309   -55152.92  -665.35085
      0.918    -0.04671    -0.04682    -0.00238   -54182.77   -684.3841  -648.07932   -88509.39  1405.07297   74038.931   -54182.77   -684.3841
       0.92    -0.04609     -0.0462    -0.00259    -53137.7   -702.9546  -676.67517   -86732.26  1432.18863   72680.849    -53137.7   -702.9546
      0.922    -0.04543    -0.04554     -0.0028   -52013.07  -721.11811  -704.67658   -84822.64  1458.67774   71216.579   -52013.07  -721.11811
      0.924    -0.04473    -0.04483      -0.003   -50808.88  -738.92707  -732.13976   -82781.92  1484.64145   69644.715   -50808.88  -738.92707
      0.926    -0.04399    -0.04408     -0.0032   -49528.47  -756.40935  -759.07844   -80616.89   1510.1496   67968.501   -49528.47  -756.40935
      0.928    -0.04321     -0.0433    -0.00339   -48173.56  -773.55897  -785.45916   -78331.18  1535.21776   66189.512   -48173.56  -773.55897
       0.93    -0.04238    -0.04248    -0.00358   -46744.17  -790.34291  -811.21898   -75924.82  1559.80975   64307.679   -46744.17  -790.34291
      0.932    -0.04151    -0.04161    -0.00377   -45241.19  -806.71564  -836.29151   -73398.59  1583.85542   62324.977   -45241.19  -806.71564
      0.934     -0.0406    -0.04071    -0.00394   -43666.31  -822.63557  -860.63064   -70753.71  1607.27606   60245.235   -43666.31  -822.63557
      0.936    -0.03967    -0.03977    -0.00412   -42022.24  -838.07714  -884.22329   -67992.43  1630.00813    58074.29   -42022.24  -838.07714
      0.938    -0.03869    -0.03879    -0.00428   -40315.58  -853.03472  -907.08689   -65123.23  1652.01728   55823.495   -40315.58  -853.03472
       0.94    -0.03768    -0.03777    -0.00444   -38555.63   -867.5175  -929.25304    -62159.4  1673.29945   53507.499   -38555.63   -867.5175
      0.942    -0.03663    -0.03672     -0.0046   -36747.67  -881.53962  -950.74664   -59108.35  1693.87224   51134.674   -36747.67  -881.53962
      0.944    -0.03554    -0.03564    -0.00475   -34890.73   -895.1129  -971.57343   -55968.09  1713.76527     48704.1   -34890.73   -895.1129
      0.946    -0.03442    -0.03452     -0.0049   -32982.66  -908.23993  -991.71353    -52735.6  1733.00627   46212.393   -32982.66  -908.23993
      0.948    -0.03327    -0.03337    -0.00505  -31023.879  -920.91765  -1011.1343   -49412.46  1751.61868   43659.174  -31023.879  -920.91765
       0.95     -0.0321    -0.03219    -0.00518  -29016.368  -933.14588  -1029.8118   -46002.68  1769.62583   41046.425  -29016.368  -933.14588
      0.952    -0.03089    -0.03097    -0.00531  -26963.897  -944.93282  -1047.7466    -42512.5  1787.05189   38379.195  -26963.897  -944.93282
      0.954    -0.02965    -0.02973    -0.00543   -24872.69  -956.29312  -1064.9637   -38951.37  1803.91562   35666.698   -24872.69  -956.29312
      0.956    -0.02838    -0.02847    -0.00555  -22747.919  -967.23977  -1081.4997   -35326.25  1820.21958   32917.508  -22747.919  -967.23977
      0.958    -0.02708    -0.02717    -0.00567  -20590.988  -977.77407  -1097.3816   -31637.38  1835.94064  30135.5875  -20590.988  -977.77407
       0.96    -0.02577    -0.02585    -0.00577  -18403.644  -987.87887  -1112.6091   -27885.56  1851.02754  27325.3716  -18403.644  -987.87887
      0.962    -0.02443    -0.02451    -0.00588   -16191.87  -997.52012  -1127.1488   -24079.12  1865.41153  24496.4893   -16191.87  -997.52012
      0.964    -0.02307    -0.02314    -0.00597  -13962.562  -1006.6591   -1140.947   -20228.75  1879.03023  21658.9378  -13962.562  -1006.6591
      0.966    -0.02168    -0.02175    -0.00607  -11718.821   -1015.266  -1153.9481  -16340.177  1891.84993  18816.2842  -11718.821   -1015.266
      0.968    -0.02028    -0.02035    -0.00615     -9460.8  -1023.3368  -1166.1232   -12415.51  1903.88708  15966.8889     -9460.8  -1023.3368
       0.97    -0.01885    -0.01892    -0.00623   -7186.903  -1030.9024  -1177.4918   -8454.609  1915.21542  13106.1005   -7186.903  -1030.9024
      0.972    -0.01741    -0.01748    -0.00631     -4893.3  -1038.0232  -1188.1215   -4453.448  1925.94826  10226.4515     -4893.3  -1038.0232
      0.974    -0.01596    -0.01602    -0.00638  -2577.5769  -1044.7674  -1198.1034  -409.42599  1936.19881  7323.30458  -2577.5769  -1044.7674
      0.976    -0.01449    -0.01455    -0.00644  -243.96233  -1051.1829  -1207.5142  3670.25216  1946.03438  4402.13915  -243.96233  -1051.1829
      0.978    -0.01301    -0.01307     -0.0065  2099.20782  -1057.2763  -1216.3828  7772.46512  1955.44594  1474.84166  2099.20782  -1057.2763
       0.98    -0.01152    -0.01157    -0.00655  4446.64714  -1063.0077  -1224.6765  11889.3395   1964.3467  -1450.6019  4446.64714  -1063.0077
      0.982    -0.01002    -0.01007     -0.0066  6797.20045  -1068.3049  -1232.3131  16019.3962  1972.60151   -4372.205  6797.20045  -1068.3049
      0.984    -0.00851    -0.00856    -0.00665  9150.39085  -1073.0915  -1239.1964  20161.5707  1980.07808   -7289.602  9150.39085  -1073.0915
      0.986    -0.00699    -0.00705    -0.00668  11506.3225  -1077.3153  -1245.2517  24314.8792  1986.69437  -10204.088  11506.3225  -1077.3153
      0.988    -0.00548    -0.00552    -0.00672  13865.6711  -1080.9714  -1250.4602  28478.5421    1992.454  -13118.471  13865.6711  -1080.9714
       0.99    -0.00396      -0.004    -0.00674   16226.804    -1084.11  -1254.8755   32647.457  1997.45453  -16032.955   16226.804    -1084.11
      0.992    -0.00244    -0.00248    -0.00677  18586.4942  -1086.8235  -1258.6105   36813.616  2001.85997  -18945.866  18586.4942  -1086.8235
      0.994  -9.204E-04  -9.538E-04    -0.00678   20945.311  -1089.2136  -1261.7972   40975.335  2005.84349  -21860.598   20945.311  -1089.2136
      0.996   6.009E-04   5.651E-04     -0.0068  23307.7972  -1091.3531  -1264.5357   45137.959  2009.52364  -24785.433  23307.7972  -1091.3531
      0.998     0.00212     0.00208     -0.0068  25675.8824  -1093.2584  -1266.8559   49303.401  2012.91927  -27724.246  25675.8824  -1093.2584
         1.     0.00362     0.00359    -0.00681  28045.8774  -1094.8842  -1268.7086   53465.466  2015.94381  -30672.166  28045.8774  -1094.8842
