 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-INELASTIC-1PHASE-LL1  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Nonlinear - 0.002
 FUNCTION  disp-1-z:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z  moment-0-0  moment-0-1  moment-1-1
      0.554   5.794E-05  1024.11807  -1584.7097   -37069.25
      0.556   2.461E-04  3281.63627   -4594.412   -32552.28
      0.558   5.112E-04  6462.97621   -8836.448    -26191.1
       0.56   8.388E-04  10393.6921  -14077.209  -18328.503
      0.562     0.00121  14866.2317  -20040.745   -9384.328
      0.564     0.00161  19637.1436  -26401.844   158.19757
      0.566     0.00201  24449.2619   -32818.09  9781.88963
      0.568     0.00239  29047.5407   -38949.06  18978.8699
       0.57     0.00274   33192.001   -44475.06  27267.4629
      0.572     0.00303   36665.876   -49106.85   34215.467
      0.574     0.00325   39285.643   -52599.91   39454.804
      0.576     0.00338   40907.102   -54761.83   42697.875
      0.578     0.00343   41431.489   -55461.03    43746.53
       0.58     0.00337   40808.136   -54629.88   42499.917
      0.582     0.00323   39041.154   -52273.92   38965.881
      0.584     0.00299   36192.812   -48476.12   33269.251
      0.586     0.00267   32375.022   -43385.74  25633.6293
      0.588     0.00228  27738.3899   -37203.55  16360.3983
       0.59     0.00184  22465.2439  -30172.698  5814.08025
      0.592     0.00137  16761.1613  -22567.251   -5594.065
      0.594   8.764E-04  10845.9153  -14680.259  -17424.572
      0.596   3.846E-04  4943.81571   -6810.791  -29228.759
      0.598  -8.786E-05  -725.80662   748.70408   -40568.01
        0.6  -5.239E-04   -5957.827  7724.73305   -51032.05
      0.602  -9.083E-04  -10570.939  13875.5481   -60258.28
      0.604    -0.00123  -14416.132  19002.4722   -67948.66
      0.606    -0.00148  -17381.077  22955.7317   -73878.55
      0.608    -0.00164  -19392.918  25638.1865   -77902.23
       0.61    -0.00173  -20420.553  27008.3666    -79957.5
      0.612    -0.00173  -20475.136  27081.1436   -80066.67
      0.614    -0.00166  -19608.754  25925.9674    -78333.9
      0.616    -0.00152  -17911.422  23662.8581   -74939.24
      0.618    -0.00132  -15506.515   20456.316   -70129.43
       0.62    -0.00107  -12544.895  16507.4887   -64206.19
      0.622  -7.922E-04   -9177.921  12018.1912   -57472.24
      0.624  -4.883E-04   -5530.995  7155.62281   -50178.39
      0.626  -1.706E-04  -1718.8149  2072.71573   -42554.03
      0.628   1.509E-04  2139.20484  -3071.3105   -34837.99
       0.63   4.663E-04  5924.07999   -8117.811  -27268.236
      0.632   7.661E-04  9522.28092  -12915.412  -20071.834
      0.634     0.00104   12830.427  -17326.273  -13455.542
      0.636     0.00129  15759.4577  -21231.648   -7597.481
      0.638     0.00149  18238.1165  -24536.526  -2640.1633
       0.64     0.00166  20215.6108  -27173.185  1314.82549
      0.642     0.00178   21669.117  -29111.193  4221.83773
      0.644     0.00186  22609.9511  -30365.639    6103.506
      0.646      0.0019  23076.6523  -30987.907  7036.90842
      0.648      0.0019   23127.051  -31055.105  7137.70583
       0.65     0.00188    22835.44  -30666.291  6554.48372
      0.652     0.00183   22289.105  -29937.844  5461.81389
      0.654     0.00177  21584.3753  -28998.204  4052.35436
      0.656     0.00171  20822.3687  -27982.196  2528.34118
      0.658     0.00165  20104.6199  -27025.197   1092.8437
       0.66      0.0016  19528.7772  -26257.407   -58.84178
      0.662     0.00157  19182.8806  -25796.211  -750.63508
      0.664     0.00157  19140.1604  -25739.251   -836.0754
      0.666     0.00159  19457.9016  -26162.906   -200.5929
      0.668     0.00165  20177.0051  -27121.711  1237.61409
       0.67     0.00175  21320.5822   -28646.48   3524.7682
      0.672     0.00188  22893.3299  -30743.477  6670.26363
      0.674     0.00205  24881.6993   -33394.64  10647.0025
      0.676     0.00224  27254.8306   -36558.81   15393.265
      0.678     0.00247  29966.1998   -40173.97  20816.0034
       0.68     0.00272   32955.898   -44160.23  26795.3995
      0.682     0.00299   36150.257   -48419.38   33184.119
      0.684     0.00326   39462.069   -52835.13   39807.742
      0.686     0.00354   42797.714   -57282.66   46479.032
      0.688     0.00381   46064.422   -61638.27   53012.448
       0.69     0.00407   49174.179   -65784.61   59231.962
      0.692     0.00431   52047.356   -69615.51   64978.316
      0.694     0.00452   54615.911   -73040.25   70115.427
      0.696     0.00471    56826.04   -75987.09   74535.683
      0.698     0.00486   58640.165   -78405.92   78163.933
        0.7     0.00498   60038.205   -80269.98   80960.014
      0.702     0.00506   61008.699   -81563.97   82901.003
      0.704      0.0051   61539.738   -82272.02    83963.08
      0.706     0.00511   61628.855   -82390.84   84141.314
      0.708     0.00508   61292.327   -81942.14   83468.258
       0.71     0.00502   60564.112   -80971.19   82011.828
      0.712     0.00493   59494.064   -79544.46   79871.732
      0.714     0.00482   58145.508   -77746.38   77174.619
      0.716     0.00469   56592.291   -75675.43   74068.186
      0.718     0.00455   54915.454   -73439.64   70714.513
       0.72     0.00441   53199.659   -71151.92   67282.923
      0.722     0.00426   51504.349    -68891.5   63892.302
      0.724     0.00413   49836.545   -66667.76   60556.694
      0.726     0.00399   48176.779   -64454.74   57237.161
      0.728     0.00385   46505.628   -62226.54    53894.86
       0.73     0.00371   44804.538   -59958.42    50492.68
      0.732     0.00356   43056.589   -57627.82   46996.782
      0.734     0.00341   41247.179   -55215.28   43377.961
      0.736     0.00325   39364.595   -52705.16   39612.794
      0.738     0.00309   37400.452   -50086.31   35684.507
       0.74     0.00292   35349.979   -47352.34  31583.5614
      0.742     0.00274   33256.889   -44561.56  27397.3811
      0.744     0.00258  31255.3007   -41892.77  23394.2052
      0.746     0.00243  29517.5389   -39575.76  19918.6816
      0.748     0.00232  28201.3476   -37820.83  17286.2991
       0.75     0.00226  27443.5086   -36810.38  15770.6209
      0.752     0.00225  27354.4712   -36691.67  15592.5461
      0.754     0.00231  28014.2032   -37571.31  16912.0102
      0.756     0.00243  29469.4129   -39511.59  19822.4296
      0.758     0.00262   31732.234   -42528.68   24348.071
       0.76     0.00287   34780.397    -46592.9  30444.3972
      0.762     0.00318   38533.667   -51597.26   37950.938
      0.764     0.00354   42833.199   -57329.97   46550.002
      0.766     0.00393   47475.007   -63519.05   55833.617
      0.768     0.00433   52244.671    -69878.6   65372.946
       0.77     0.00472   56926.619    -76121.2   74736.842
      0.772     0.00508   61313.265   -81970.06   83510.133
      0.774     0.00541   65213.632   -87170.55   91310.867
      0.776     0.00568   68308.322   -91191.21   96000.013
      0.778     0.00589   70328.124   -93566.33   96000.015
