  Saved    Null   Total  Iteration   Relative  Curr Step   Curr Sum    Max Sum
  Steps   Steps   Steps  this Step  Unbalance       Size   of Steps   of Steps
 (    1      50     200     -10/40   1.000000   1.000000   1.000000   1.000000)
      0       1       7          1  10.539712   0.013036   0.909669   0.909669
      0       1       7          2  10.587128   0.013036   0.909669   0.909669
      0       1       7          3  10.327820   0.013036   0.909669   0.909669
      0       1       7          4  10.083020   0.013036   0.909669   0.909669
      0       1       7          5   9.843953   0.013036   0.909669   0.909669
      0       1       7          6   9.610645   0.013036   0.909669   0.909669
      0       1       7          7   9.382948   0.013036   0.909669   0.909669
      0       1       7          8   9.160725   0.013036   0.909669   0.909669
      0       1       7          9   8.943840   0.013036   0.909669   0.909669
      0       1       7         10   8.732161   0.013036   0.909669   0.909669
      0       1       7         11   8.525559   0.013036   0.909669   0.909669
      0       1       7         12   8.323910   0.013036   0.909669   0.909669
      0       1       7         13   8.127091   0.013036   0.909669   0.909669
      0       1       7         14   7.934984   0.013036   0.909669   0.909669
      0       1       7         15   7.747473   0.013036   0.909669   0.909669
      0       1       7         16   7.564446   0.013036   0.909669   0.909669
      0       1       7         17   7.385793   0.013036   0.909669   0.909669
      0       1       7         18   7.211407   0.013036   0.909669   0.909669
      0       1       7         19   7.041183   0.013036   0.909669   0.909669
      0       1       7         20   6.875021   0.013036   0.909669   0.909669
      0       1       7         21   6.712821   0.013036   0.909669   0.909669
      0       1       7         22   6.554486   0.013036   0.909669   0.909669
      0       1       7         23   6.399923   0.013036   0.909669   0.909669
      0       1       7         24   6.249041   0.013036   0.909669   0.909669
      0       1       7         25   6.101749   0.013036   0.909669   0.909669
      0       1       7         26   5.957960   0.013036   0.909669   0.909669
      0       1       7         27   5.817591   0.013036   0.909669   0.909669
      0       1       7         28   5.680558   0.013036   0.909669   0.909669
      0       1       7         29   5.546780   0.013036   0.909669   0.909669
      0       1       7         30   5.416178   0.013036   0.909669   0.909669
      0       1       7         31   5.288677   0.013036   0.909669   0.909669
      0       1       7         32   5.164201   0.013036   0.909669   0.909669
      0       1       7          1   3.635739   0.006518   0.909669   0.909669
      0       1       7          2   3.652758   0.006518   0.909669   0.909669
      0       1       7          3   3.561789   0.006518   0.909669   0.909669
      0       1       7          4   3.476869   0.006518   0.909669   0.909669
      0       1       7          5   3.393955   0.006518   0.909669   0.909669
      0       1       7          6   3.313030   0.006518   0.909669   0.909669
      0       1       7          7   3.234044   0.006518   0.909669   0.909669
      0       1       7          8   3.156951   0.006518   0.909669   0.909669
      0       1       7          9   3.081705   0.006518   0.909669   0.909669
      0       1       7         10   3.008261   0.006518   0.909669   0.909669
      0       1       7         11   2.936576   0.006518   0.909669   0.909669
      0       1       7         12   2.866608   0.006518   0.909669   0.909669
      0       1       7         13   2.798314   0.006518   0.909669   0.909669
      0       1       7         14   2.731654   0.006518   0.909669   0.909669
      0       1       7         15   2.666589   0.006518   0.909669   0.909669
      0       1       7         16   2.603081   0.006518   0.909669   0.909669
      0       1       7         17   2.541091   0.006518   0.909669   0.909669
      0       1       7         18   2.480584   0.006518   0.909669   0.909669
      0       1       7         19   2.421523   0.006518   0.909669   0.909669
      0       1       7         20   2.363873   0.006518   0.909669   0.909669
      0       1       7         21   2.307601   0.006518   0.909669   0.909669
      0       1       7         22   2.252674   0.006518   0.909669   0.909669
      0       1       7         23   2.199059   0.006518   0.909669   0.909669
      0       1       7         24   2.146724   0.006518   0.909669   0.909669
      0       1       7         25   2.095639   0.006518   0.909669   0.909669
      0       1       7         26   2.045774   0.006518   0.909669   0.909669
      0       1       7         27   1.997099   0.006518   0.909669   0.909669
      0       1       7         28   1.949586   0.006518   0.909669   0.909669
      0       1       7         29   1.903207   0.006518   0.909669   0.909669
      0       1       7         30   1.857934   0.006518   0.909669   0.909669
      0       1       7         31   1.813741   0.006518   0.909669   0.909669
      0       1       7         32   1.770603   0.006518   0.909669   0.909669
      0       2       8         -1   1.754143   0.003259   0.909669   0.909669
      0       2       8         -2   1.713038   0.003259   0.909669   0.909669
      0       2       8         -3   1.657920   0.003259   0.909669   0.909669
      0       2       8         -4   1.604577   0.003259   0.909669   0.909669
      0       2       8         -5   1.552954   0.003259   0.909669   0.909669
      0       2       8         -6   1.502997   0.003259   0.909669   0.909669
      0       2       8         -7   1.454652   0.003259   0.909669   0.909669
      0       2       8         -8   1.407865   0.003259   0.909669   0.909669
      0       2       8         -9   1.362587   0.003259   0.909669   0.909669
      0       2       8        -10   1.318769   0.003259   0.909669   0.909669
      0       2       8          1   1.754143   0.003259   0.909669   0.909669
      0       2       8          2   1.773717   0.003259   0.909669   0.909669
      0       2       8          3   1.729612   0.003259   0.909669   0.909669
      0       2       8          4   1.688387   0.003259   0.909669   0.909669
      0       2       8          5   1.648133   0.003259   0.909669   0.909669
      0       2       8          6   1.608841   0.003259   0.909669   0.909669
      0       2       8          7   1.570488   0.003259   0.909669   0.909669
      0       2       8          8   1.533053   0.003259   0.909669   0.909669
      0       2       8          9   1.496511   0.003259   0.909669   0.909669
      0       2       8         10   1.460843   0.003259   0.909669   0.909669
      0       2       8         11   1.426027   0.003259   0.909669   0.909669
      0       2       8         12   1.392042   0.003259   0.909669   0.909669
      0       2       8         13   1.358869   0.003259   0.909669   0.909669
      0       2       8         14   1.326489   0.003259   0.909669   0.909669
      0       2       8         15   1.294881   0.003259   0.909669   0.909669
      0       2       8         16   1.264029   0.003259   0.909669   0.909669
      0       2       8         17   1.233913   0.003259   0.909669   0.909669
      0       2       8         18   1.204516   0.003259   0.909669   0.909669
      0       2       8         19   1.175820   0.003259   0.909669   0.909669
      0       2       8         20   1.147810   0.003259   0.909669   0.909669
      0       2       8         21   1.120468   0.003259   0.909669   0.909669
      0       2       8         22   1.093778   0.003259   0.909669   0.909669
      0       2       8         23   1.067725   0.003259   0.909669   0.909669
      0       2       8         24   1.042294   0.003259   0.909669   0.909669
      0       2       8         25   1.017470   0.003259   0.909669   0.909669
      0       2       8  Conv   26   0.993238   0.003259   0.912928   0.912928
      0       2       9          1   4.201480   0.006518   0.912928   0.912928
      0       2       9          2  18.786854   0.006518   0.912928   0.912928
      0       2       9          3  30.050720   0.006518   0.912928   0.912928
      0       2       9          4  48.372521   0.006518   0.912928   0.912928
      0       2       9          5   0.261862   0.006518   0.912928   0.912928
      0       2       9          1 158.339475   0.003597   0.912928   0.912928
      0       2       9          2 337.814606   0.003597   0.912928   0.912928
      0       2       9          3  27.580975   0.003597   0.912928   0.912928
      0       2       9          4   6.484663   0.003597   0.912928   0.912928
      0       2       9  Conv    5   0.001432   0.003597   0.916526   0.916526
      0       2      10          1   1.290045   0.006163   0.916526   0.916526
      0       2      10  Conv    2   0.001330   0.006163   0.922689   0.922689
      0       2      11          1  49.154058   0.052142   0.922689   0.922689
      0       2      11          2  48.789062   0.052142   0.922689   0.922689
      0       2      11          3  47.562013   0.052142   0.922689   0.922689
      0       2      11          4  46.435983   0.052142   0.922689   0.922689
      0       2      11          5  45.337629   0.052142   0.922689   0.922689
      0       2      11          6  44.267038   0.052142   0.922689   0.922689
      0       2      11          7  43.223397   0.052142   0.922689   0.922689
      0       2      11          8  42.205933   0.052142   0.922689   0.922689
      0       2      11          9  41.213900   0.052142   0.922689   0.922689
      0       2      11         10  40.246581   0.052142   0.922689   0.922689
      0       2      11         11  39.303283   0.052142   0.922689   0.922689
      0       2      11         12  38.383335   0.052142   0.922689   0.922689
      0       2      11         13  37.486090   0.052142   0.922689   0.922689
      0       2      11         14  36.610927   0.052142   0.922689   0.922689
      0       2      11         15  35.757239   0.052142   0.922689   0.922689
      0       2      11         16  34.924444   0.052142   0.922689   0.922689
      0       2      11         17  34.111977   0.052142   0.922689   0.922689
      0       2      11         18  33.319292   0.052142   0.922689   0.922689
      0       2      11         19  32.545861   0.052142   0.922689   0.922689
      0       2      11         20  31.791169   0.052142   0.922689   0.922689
      0       2      11         21  31.054725   0.052142   0.922689   0.922689
      0       2      11         22  30.336044   0.052142   0.922689   0.922689
      0       2      11         23  29.634664   0.052142   0.922689   0.922689
      0       2      11         24  28.950130   0.052142   0.922689   0.922689
      0       2      11         25  28.282007   0.052142   0.922689   0.922689
      0       2      11         26  27.629869   0.052142   0.922689   0.922689
      0       2      11         27  26.993307   0.052142   0.922689   0.922689
      0       2      11         28  26.371920   0.052142   0.922689   0.922689
      0       2      11         29  25.765318   0.052142   0.922689   0.922689
      0       2      11         30  25.173126   0.052142   0.922689   0.922689
      0       2      11         31  24.594979   0.052142   0.922689   0.922689
      0       2      11         32  24.030521   0.052142   0.922689   0.922689
      0       2      11          1  27.849039   0.026071   0.922689   0.922689
      0       2      11          2  27.784593   0.026071   0.922689   0.922689
      0       2      11          3  27.087692   0.026071   0.922689   0.922689
      0       2      11          4  26.445955   0.026071   0.922689   0.922689
      0       2      11          5  25.819578   0.026071   0.922689   0.922689
      0       2      11          6  25.208630   0.026071   0.922689   0.922689
      0       2      11          7  24.612696   0.026071   0.922689   0.922689
      0       2      11          8  24.031377   0.026071   0.922689   0.922689
      0       2      11          9  23.464287   0.026071   0.922689   0.922689
      0       2      11         10  22.911052   0.026071   0.922689   0.922689
      0       2      11         11  22.371309   0.026071   0.922689   0.922689
      0       2      11         12  21.844705   0.026071   0.922689   0.922689
      0       2      11         13  21.330898   0.026071   0.922689   0.922689
      0       2      11         14  20.829558   0.026071   0.922689   0.922689
      0       2      11         15  20.340361   0.026071   0.922689   0.922689
      0       2      11         16  19.862996   0.026071   0.922689   0.922689
      0       2      11         17  19.397159   0.026071   0.922689   0.922689
      0       2      11         18  18.942555   0.026071   0.922689   0.922689
      0       2      11         19  18.498897   0.026071   0.922689   0.922689
      0       2      11         20  18.065907   0.026071   0.922689   0.922689
      0       2      11         21  17.643314   0.026071   0.922689   0.922689
      0       2      11         22  17.230857   0.026071   0.922689   0.922689
      0       2      11         23  16.828278   0.026071   0.922689   0.922689
      0       2      11         24  16.435331   0.026071   0.922689   0.922689
      0       2      11         25  16.051771   0.026071   0.922689   0.922689
      0       2      11         26  15.677366   0.026071   0.922689   0.922689
      0       2      11         27  15.311886   0.026071   0.922689   0.922689
      0       2      11         28  14.955110   0.026071   0.922689   0.922689
      0       2      11         29  14.606820   0.026071   0.922689   0.922689
      0       2      11         30  14.266808   0.026071   0.922689   0.922689
      0       2      11         31  13.934866   0.026071   0.922689   0.922689
      0       2      11         32  13.610797   0.026071   0.922689   0.922689
      0       3      12          1  17.202294   0.013036   0.922689   0.922689
      0       3      12          2  17.274595   0.013036   0.922689   0.922689
      0       3      12          3  16.842668   0.013036   0.922689   0.922689
      0       3      12          4  16.443505   0.013036   0.922689   0.922689
      0       3      12          5  16.053774   0.013036   0.922689   0.922689
      0       3      12          6  15.673514   0.013036   0.922689   0.922689
      0       3      12          7  15.302479   0.013036   0.922689   0.922689
      0       3      12          8  14.940434   0.013036   0.922689   0.922689
      0       3      12          9  14.587151   0.013036   0.922689   0.922689
      0       3      12         10  14.242409   0.013036   0.922689   0.922689
      0       3      12         11  13.905990   0.013036   0.922689   0.922689
      0       3      12         12  13.577686   0.013036   0.922689   0.922689
      0       3      12         13  13.257292   0.013036   0.922689   0.922689
      0       3      12         14  12.944610   0.013036   0.922689   0.922689
      0       3      12         15  12.639447   0.013036   0.922689   0.922689
      0       3      12         16  12.341615   0.013036   0.922689   0.922689
      0       3      12         17  12.050931   0.013036   0.922689   0.922689
      0       3      12         18  11.767217   0.013036   0.922689   0.922689
      0       3      12         19  11.490299   0.013036   0.922689   0.922689
      0       3      12         20  11.220009   0.013036   0.922689   0.922689
      0       3      12         21  10.956184   0.013036   0.922689   0.922689
      0       3      12         22  10.698662   0.013036   0.922689   0.922689
      0       3      12         23  10.447290   0.013036   0.922689   0.922689
      0       3      12         24  10.201915   0.013036   0.922689   0.922689
      0       3      12         25   9.962389   0.013036   0.922689   0.922689
      0       3      12         26   9.728568   0.013036   0.922689   0.922689
      0       3      12         27   9.500315   0.013036   0.922689   0.922689
      0       3      12         28   9.277491   0.013036   0.922689   0.922689
      0       3      12         29   9.059964   0.013036   0.922689   0.922689
      0       3      12         30   8.847605   0.013036   0.922689   0.922689
      0       3      12         31   8.640287   0.013036   0.922689   0.922689
      0       3      12         32   8.437887   0.013036   0.922689   0.922689
      0       4      13          1  11.855253   0.006518   0.922689   0.922689
      0       4      13          2  11.983368   0.006518   0.922689   0.922689
      0       4      13          3  11.684754   0.006518   0.922689   0.922689
      0       4      13          4  11.407774   0.006518   0.922689   0.922689
      0       4      13          5  11.137305   0.006518   0.922689   0.922689
      0       4      13          6  10.873362   0.006518   0.922689   0.922689
      0       4      13          7  10.615781   0.006518   0.922689   0.922689
      0       4      13          8  10.364401   0.006518   0.922689   0.922689
      0       4      13          9  10.119069   0.006518   0.922689   0.922689
      0       4      13         10   9.879636   0.006518   0.922689   0.922689
      0       4      13         11   9.645953   0.006518   0.922689   0.922689
      0       4      13         12   9.417881   0.006518   0.922689   0.922689
      0       4      13         13   9.195278   0.006518   0.922689   0.922689
      0       4      13         14   8.978011   0.006518   0.922689   0.922689
      0       4      13         15   8.765948   0.006518   0.922689   0.922689
      0       4      13         16   8.558961   0.006518   0.922689   0.922689
      0       4      13         17   8.356925   0.006518   0.922689   0.922689
      0       4      13         18   8.159719   0.006518   0.922689   0.922689
      0       4      13         19   7.967224   0.006518   0.922689   0.922689
      0       4      13         20   7.779324   0.006518   0.922689   0.922689
      0       4      13         21   7.595909   0.006518   0.922689   0.922689
      0       4      13         22   7.416867   0.006518   0.922689   0.922689
      0       4      13         23   7.242093   0.006518   0.922689   0.922689
      0       4      13         24   7.071482   0.006518   0.922689   0.922689
      0       4      13         25   6.904933   0.006518   0.922689   0.922689
      0       4      13         26   6.742347   0.006518   0.922689   0.922689
      0       4      13         27   6.583628   0.006518   0.922689   0.922689
      0       4      13         28   6.428682   0.006518   0.922689   0.922689
      0       4      13         29   6.277419   0.006518   0.922689   0.922689
      0       4      13         30   6.129747   0.006518   0.922689   0.922689
      0       4      13         31   5.985581   0.006518   0.922689   0.922689
      0       4      13         32   5.844836   0.006518   0.922689   0.922689
      0       5      14         -1   9.185482   0.003259   0.922689   0.922689
      0       5      14         -2   9.010589   0.003259   0.922689   0.922689
      0       5      14         -3   8.721577   0.003259   0.922689   0.922689
      0       5      14         -4   8.441866   0.003259   0.922689   0.922689
      0       5      14         -5   8.171261   0.003259   0.922689   0.922689
