 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
      0.264  -4.760E-05  -571.21261   761.61681  -1142.4252
      0.266   2.871E-04  3445.68878   -4594.252  6891.37756
      0.268   5.699E-04  6838.26729    -9117.69  13676.5346
       0.27   7.942E-04   9530.8316  -12707.775  19061.6632
      0.272   9.566E-04  11479.0579  -15305.411  22958.1159
      0.274     0.00106  12671.2325  -16894.977   25342.465
      0.276     0.00109  13128.0797  -17504.106  26256.1595
      0.278     0.00108  12901.2124  -17201.617  25802.4248
       0.28     0.00101  12070.2986  -16093.731  24140.5971
      0.282   8.941E-04  10729.7634  -14306.351  21459.5268
      0.284   7.464E-04   8956.7533  -11942.338  17913.5066
      0.286   5.697E-04  6836.01353   -9114.685  13672.0271
      0.288   3.721E-04  4465.35494   -5953.807  8930.70987
       0.29   1.626E-04  1951.21978  -2601.6264  3902.43956
      0.292  -4.967E-05  -596.02877   794.70502  -1192.0575
      0.294  -2.556E-04  -3066.8871  4089.18285   -6133.774
      0.296  -4.464E-04   -5357.357  7143.14275  -10714.714
      0.298  -6.144E-04   -7373.261   9831.0149  -14746.522
        0.3  -7.528E-04   -9034.052  12045.4023  -18068.103
      0.302  -8.549E-04  -10259.304  13679.0717  -20518.608
      0.304  -9.102E-04  -10922.657  14563.5421  -21845.313
      0.306  -9.090E-04  -10907.793  14543.7236  -21815.585
      0.308  -8.441E-04   -10129.67  13506.2266   -20259.34
       0.31  -7.115E-04   -8537.499   11383.332  -17074.998
      0.312  -5.097E-04   -6116.202   8154.9364  -12232.405
      0.314  -2.405E-04  -2886.3215  3848.42862   -5772.643
      0.316   9.147E-05  1097.58971  -1463.4529  2195.17942
      0.318   4.792E-04  5749.98845   -7666.651  11499.9769
       0.32   9.132E-04  10958.6231  -14611.497  21917.2462
      0.322     0.00138  16564.7696  -22086.359   33129.539
      0.324     0.00186  22296.4021  -29728.536   44592.804
      0.326     0.00232   27856.912   -37142.55   55713.824
      0.328     0.00275   32963.078   -43950.77   65926.156
       0.33     0.00311   37356.853   -49809.14   74713.707
      0.332      0.0034   40815.835   -54421.11   81631.671
      0.334      0.0036   43162.005   -57549.34   86324.009
      0.336     0.00369   44268.394   -59024.53   88536.788
      0.338     0.00367   44063.445   -58751.26   88126.889
       0.34     0.00354   42532.914   -56710.55   85065.827
      0.342     0.00331   39737.869   -52983.83   79475.739
      0.344     0.00299   35865.699   -47820.93   71731.397
      0.346      0.0026  31164.1789   -41552.24   62328.358
      0.348     0.00216  25911.3108   -34548.41   51822.622
       0.35      0.0017   20402.857  -27203.809   40805.714
      0.352     0.00124  14939.3819  -19919.176  29878.7638
      0.354   8.178E-04  9813.35263   -13084.47  19626.7053
      0.356   4.414E-04  5296.85083   -7062.468  10593.7017
      0.358   1.359E-04  1630.40512  -2173.8735  3260.81025
       0.36  -8.222E-05  -986.60359  1315.47145  -1973.2072
